Loss 12.4476, Prob 0.003438302 
Loss 12.9379, Prob 0.0010980729 
Loss nan, Prob 2.5781392e-05 
Loss nan, Prob 5.787685e-05 
Loss 13.0006, Prob 0.005570746 
Loss 12.8143, Prob 0.001282787 
Loss 12.8091, Prob 0.0073506683 
Loss nan, Prob 0.0008095313 
Loss 13.0940, Prob 0.0038604005 
Loss nan, Prob 0.00078087137 
Loss 14.2089, Prob 0.0014250356 
Loss 7.2922, Prob 0.0018256665 
Loss 16.6906, Prob 0.0047696643 
Loss 12.4093, Prob 0.0049059303 
Loss nan, Prob 2.7871396e-05 
Loss 10.4819, Prob 0.00092227914 
Loss 15.4770, Prob 0.0010034362 
Loss nan, Prob 0.00097296515 
Loss 12.4011, Prob 0.005112895 
Loss nan, Prob 5.575674e-06 
Loss nan, Prob 0.0010548208 
Loss 14.1943, Prob 0.00080050866 
Loss 15.9481, Prob 0.0048563047 
Loss 13.6699, Prob 0.0023001349 
Loss nan, Prob 6.0488173e-06 
Loss 11.4074, Prob 0.00082316477 
Loss 15.7322, Prob 0.003529104 
Loss 15.5081, Prob 0.00062583806 
Loss 8.3758, Prob 0.0026910328 
Loss 15.4096, Prob 0.006183994 
Loss nan, Prob 0.0010418488 
Loss nan, Prob 0.000865805 
Loss 12.5717, Prob 0.00061457336 
Loss 7.3898, Prob 0.005453098 
Loss nan, Prob 0.0006667357 
Loss 12.0230, Prob 0.0014749381 
Loss nan, Prob 0.00093246554 
Loss 12.0081, Prob 0.0007391987 
Loss 16.8891, Prob 0.0034140388 
Loss 10.5280, Prob 0.0033400343 
Loss 11.3897, Prob 0.0010634998 
Loss 13.2338, Prob 0.004293981 
Loss nan, Prob 0.0008555681 
Loss 13.2138, Prob 0.00085370266 
Loss nan, Prob 0.000621751 
Loss 12.4738, Prob 0.00079864025 
Loss 14.0197, Prob 0.001113846 
Loss 6.9741, Prob 0.0016429536 
Loss 6.6255, Prob 0.0018999169 
Loss 15.3834, Prob 0.003755611 
Loss nan, Prob 4.90669e-05 
Loss nan, Prob 2.645671e-05 
Loss 11.1474, Prob 0.0010433288 
Loss nan, Prob 2.9229407e-06 
Loss nan, Prob 0.0007554174 
Loss 5.4332, Prob 0.00069884746 
Loss 16.1580, Prob 0.00073342293 
Loss nan, Prob 5.374057e-05 
Loss 14.0908, Prob 0.0042381017 
Loss 12.9736, Prob 0.0012732112 
Loss 10.3891, Prob 0.0018897956 
Loss 15.8715, Prob 0.0058332137 
Loss 11.8417, Prob 0.0013098561 
Loss nan, Prob 0.0007777579 
Loss nan, Prob 0.0009514886 
Loss nan, Prob 2.5722753e-05 
Loss 15.0700, Prob 0.0040343935 
Loss 13.5291, Prob 0.0036155018 
Loss 14.3121, Prob 0.001062126 
Loss 15.2535, Prob 0.0021368747 
Loss 10.8033, Prob 0.0040390613 
Loss 14.3460, Prob 0.0033580218 
Loss 11.9273, Prob 0.005855026 
Loss 10.1840, Prob 0.0034418372 
Loss 12.3764, Prob 0.004390505 
Loss 10.1149, Prob 0.0007185185 
Loss nan, Prob 0.0010349902 
Loss 14.7895, Prob 0.0009259579 
Loss nan, Prob 1.0008013e-05 
Loss 12.6101, Prob 0.0051233163 
Loss 14.2245, Prob 0.0057276264 
Loss nan, Prob 0.00011965599 
Loss 8.3141, Prob 0.0038703096 
Loss 9.1532, Prob 0.00080177543 
Loss 16.5788, Prob 0.004267418 
Loss 13.1738, Prob 0.00066224264 
Loss 13.7436, Prob 0.00053175446 
Loss 9.9987, Prob 0.0018461655 
Loss 16.4363, Prob 0.0019051587 
Loss nan, Prob 0.0008764427 
Loss 13.6942, Prob 0.00081374217 
Loss 9.8779, Prob 0.0008538737 
Loss 14.5335, Prob 0.00113822 
Loss 12.1579, Prob 0.001881395 
Loss 11.8067, Prob 0.0018741367 
Loss 15.1751, Prob 0.004794585 
Loss 17.4458, Prob 0.0007073577 
Loss nan, Prob 0.00074827764 
Loss 7.9949, Prob 0.0017507588 
Loss nan, Prob 0.00095493835 
Loss 12.1821, Prob 0.0010403604 
Loss 10.2151, Prob 0.0028094016 
Loss 13.5828, Prob 0.0040538833 
Loss nan, Prob 0.00088034594 
Loss nan, Prob 4.560827e-05 
Loss 10.9258, Prob 0.0007154065 
Loss nan, Prob 0.00075023144 
Loss nan, Prob 6.811602e-05 
Loss 16.9931, Prob 0.0021106827 
Loss 16.4881, Prob 0.0007759321 
Loss 13.9867, Prob 0.005328879 
Loss 5.6671, Prob 0.0009358657 
Loss nan, Prob 0.00083021366 
Loss nan, Prob 0.0008536912 
Loss nan, Prob 0.00072714896 
Loss 8.5971, Prob 0.0011606114 
Loss nan, Prob 0.0010299771 
Loss 9.7792, Prob 0.003853298 
Loss 11.9598, Prob 0.0017201998 
Loss 8.6120, Prob 0.002073341 
Loss 11.1210, Prob 0.0015105155 
Loss nan, Prob 0.00010192605 
Loss 14.7105, Prob 0.0009504369 
Loss nan, Prob 0.0007585894 
Loss nan, Prob 3.4012653e-06 
Loss nan, Prob 0.0009165037 
Loss 8.0538, Prob 0.002407115 
Loss 14.1227, Prob 0.0043084 
Loss nan, Prob 0.00055586215 
Loss 14.2318, Prob 0.0008713593 
Loss 11.5858, Prob 0.0010452236 
Loss 7.2135, Prob 0.0010105997 
Loss 12.9369, Prob 0.0008120432 
Loss 8.6197, Prob 0.0020498447 
Loss 14.5921, Prob 0.0013566163 
Loss 14.1073, Prob 0.00067869225 
Loss nan, Prob 0.0010211173 
Loss 17.3376, Prob 0.0009668104 
Loss 10.8012, Prob 0.004352212 
Loss 10.1369, Prob 0.00088055606 
Loss nan, Prob 0.00065114826 
Loss 11.0726, Prob 0.0015330046 
Loss 12.8872, Prob 0.001601793 
Loss 10.4399, Prob 0.0011297677 
Loss 8.4814, Prob 0.004802263 
Loss 13.8524, Prob 0.001116954 
Loss 15.1662, Prob 0.002922957 
Loss 8.3287, Prob 0.001790974 
Loss 12.1193, Prob 0.0047358163 
Loss 8.9145, Prob 0.0041700355 
Loss nan, Prob 6.74033e-05 
Loss 12.6962, Prob 0.0067382297 
Loss nan, Prob 4.886935e-05 
Loss nan, Prob 1.3609136e-05 
Loss 7.5794, Prob 0.0019157142 
Loss nan, Prob 5.1929033e-05 
Loss 11.8084, Prob 0.00162516 
Loss nan, Prob 0.00092552754 
Loss 6.2646, Prob 0.00086484174 
Loss 12.8060, Prob 0.0008374301 
Loss 13.8836, Prob 0.003335276 
Loss 13.1239, Prob 0.001563304 
Loss nan, Prob 3.6916685e-05 
Loss 13.4125, Prob 0.0034047547 
Loss 15.2512, Prob 0.0019446439 
Loss 15.1796, Prob 0.001120811 
Loss 16.9782, Prob 0.006656684 
Loss nan, Prob 7.966418e-05 
Loss 14.2974, Prob 0.0038273432 
Loss nan, Prob 0.00079431786 
Loss 12.2885, Prob 0.004066998 
Loss 13.6363, Prob 0.00088349 
Loss nan, Prob 2.2722164e-05 
Loss 12.6871, Prob 0.0013645655 
Loss nan, Prob 5.2089148e-05 
Loss 11.9366, Prob 0.0009835057 
Loss nan, Prob 6.488229e-05 
Loss nan, Prob 1.2158565e-05 
Loss 15.1427, Prob 0.003912001 
Loss 9.5300, Prob 0.0027685056 
Loss 15.8001, Prob 0.001042181 
Loss 12.2753, Prob 0.00079585135 
Loss 11.3346, Prob 0.0020800307 
Loss 10.0320, Prob 0.0011011047 
Loss nan, Prob 4.3980577e-05 
Loss 4.3610, Prob 0.00084356766 
Loss 11.8710, Prob 0.0017750267 
Loss nan, Prob 5.4043485e-05 
Loss 11.9191, Prob 0.00080948416 
Loss nan, Prob 0.0009577543 
Loss 11.3700, Prob 0.0008894063 
Loss 10.9126, Prob 0.010004815 
Loss 11.4809, Prob 0.0031108842 
Loss nan, Prob 9.491138e-05 
Loss 15.9066, Prob 0.0018812532 
Loss 15.1885, Prob 0.0017405075 
Loss 10.7064, Prob 0.0038027843 
Loss nan, Prob 4.20372e-05 
Loss 12.0886, Prob 0.004151077 
Loss 16.5877, Prob 0.0010040734 
Loss 11.4496, Prob 0.0026643767 
Loss nan, Prob 7.8107696e-05 
Loss nan, Prob 1.2074925e-06 
Loss 15.8980, Prob 0.00296889 
Loss nan, Prob 9.149877e-05 
Loss 14.3819, Prob 0.0032909336 
Loss 12.6222, Prob 0.0033097714 
Loss 17.0787, Prob 0.002386864 
Loss 13.5324, Prob 0.0033986843 
Loss 8.7100, Prob 0.0041145757 
Loss 13.8559, Prob 0.00323778 
Loss 12.5089, Prob 0.00084184704 
Loss 16.4159, Prob 0.0026662822 
Loss 13.4887, Prob 0.0035619235 
Loss nan, Prob 0.0010210708 
Loss 7.9675, Prob 0.0025854323 
Loss 8.6557, Prob 0.0011406766 
Loss nan, Prob 6.0739385e-05 
Loss nan, Prob 0.00013888859 
Loss 15.7126, Prob 0.0008666928 
Loss nan, Prob 0.0010969802 
Loss 14.3540, Prob 0.0025519335 
Loss 14.8882, Prob 0.0035193327 
Loss 14.1001, Prob 0.00096892053 
Loss nan, Prob 4.503058e-05 
Loss 13.9961, Prob 0.0028089383 
Loss 10.6828, Prob 0.001142889 
Loss 15.9556, Prob 0.0017380991 
Loss 12.5351, Prob 0.0019138259 
Loss 8.3176, Prob 0.0036734305 
Loss 17.4771, Prob 0.0015801468 
Loss 14.7475, Prob 0.0009554984 
Loss 13.6730, Prob 0.001028233 
Loss 8.8027, Prob 0.0010183818 
Loss 11.1844, Prob 0.0016481887 
Loss 11.9929, Prob 0.0010787279 
Loss 14.0638, Prob 0.0031275272 
Loss 15.6829, Prob 0.00093121745 
Loss nan, Prob 0.0010317322 
Loss nan, Prob 0.00085675553 
Loss nan, Prob 7.705059e-05 
Loss nan, Prob 0.0010845412 
Loss 9.8769, Prob 0.0014488753 
Loss 14.0046, Prob 0.001824059 
Loss nan, Prob 7.281681e-05 
Loss 19.4707, Prob 0.0025225314 
Loss 17.2961, Prob 0.004970526 
Loss 11.8321, Prob 0.002324257 
Loss 12.8290, Prob 0.0009388916 
Loss nan, Prob 0.0007393194 
Loss nan, Prob 0.000716283 
Loss nan, Prob 5.3345044e-05 
Loss nan, Prob 2.6036916e-05 
Loss 11.9096, Prob 0.0027527 
Loss 9.8635, Prob 0.0051217317 
Loss nan, Prob 1.22082565e-05 
Loss nan, Prob 0.0009846976 
Loss nan, Prob 4.309665e-05 
Loss nan, Prob 7.6874065e-05 
Loss 12.8441, Prob 0.00063919247 
Loss 10.5740, Prob 0.0006779694 
Loss 12.3635, Prob 0.0015495538 
Loss 9.2969, Prob 0.0010812415 
Loss nan, Prob 9.734543e-05 
Loss 14.9355, Prob 0.00096798583 
Loss 16.3031, Prob 0.002308623 
Loss 16.0283, Prob 0.0010590326 
Loss 14.3744, Prob 0.0017779653 
Loss nan, Prob 0.00081056834 
Loss 5.6331, Prob 0.00093023403 
Loss nan, Prob 0.00011044691 
Loss 13.8992, Prob 0.0020937347 
Loss nan, Prob 3.6533904e-05 
Loss 11.9797, Prob 0.0031470885 
Loss nan, Prob 0.00010316244 
Loss 15.8414, Prob 0.001999746 
Loss nan, Prob 1.9303989e-05 
Loss 13.2235, Prob 0.0011355957 
Loss 9.2023, Prob 0.0016878499 
Loss 12.4953, Prob 0.001110022 
Loss 6.2282, Prob 0.0008234943 
Loss 8.7337, Prob 0.0017935003 
Loss 10.3584, Prob 0.0009353009 
Loss 9.9364, Prob 0.002140541 
Loss 16.6927, Prob 0.0011528644 
Loss 17.1864, Prob 0.004277686 
Loss 10.4166, Prob 0.00079990743 
Loss 9.9971, Prob 0.0034468882 
Loss 13.3817, Prob 0.0008226362 
Loss 8.4609, Prob 0.003835327 
Loss nan, Prob 0.00012937504 
Loss 10.6914, Prob 0.0012108701 
Loss 10.7084, Prob 0.0029119644 
Loss nan, Prob 0.0009976653 
Loss 12.7135, Prob 0.0010435693 
Loss 7.3317, Prob 0.0017888739 
Loss 9.9208, Prob 0.0027504433 
Loss nan, Prob 3.0357685e-05 
Loss 15.5392, Prob 0.0015466893 
Loss 12.2799, Prob 0.0010523945 
Loss nan, Prob 0.0008064459 
Loss 15.7100, Prob 0.002001874 
Loss 15.1600, Prob 0.0015659139 
Loss 17.4467, Prob 0.0050413124 
Loss nan, Prob 1.6668468e-05 
Loss 10.1990, Prob 0.00078599557 
Loss 12.0399, Prob 0.0010771524 
